geolocation_zip_code_prefix,geolocation_lat,geolocation_lng,geolocation_city,geolocation_state
89595,-26.90644532389304,-51.41063471268127,salto veloso,SC
76980,-12.740809689379624,-60.142949253937466,vilhena,RO
29025,-20.317503694764383,-40.35540712111688,vitoria,ES
4296,-23.621852242022022,-46.6036482835132,sao paulo,SP
12421,-22.95335669241313,-45.47899222391199,pindamonhangaba,SP
6112,-23.535268354434702,-46.79602109908249,osasco,SP
20261,-22.9231595676033,-43.21349905011815,rio de janeiro,RJ
3726,-23.4980193141843,-46.51312316680134,sao paulo,SP
74823,-16.715038349101082,-49.25128663292063,goiânia,GO
66055,-1.4450122758957986,-48.48423432569684,belem,PA
81540,-25.463816729793376,-49.22431303223303,curitiba,PR
6656,-23.55266738040897,-46.9176766002288,itapevi,SP
38700,-18.58742849357181,-46.513857573001616,patos de minas,MG
38900,-20.02459509567145,-45.96678079504821,bambui,MG
88110,-27.5787048530641,-48.61636513280582,sao jose,SC
3655,-23.524862008050075,-46.513988973772285,sao paulo,SP
12334,-23.217315933676524,-46.00255201076431,jacareí,SP
3668,-23.53402082292688,-46.495087496393324,sao paulo,SP
35790,-18.75779863655653,-44.42916235294484,curvelo,MG
18080,-23.49417704746377,-47.45760562406944,sorocaba,SP
86808,-23.555008799187977,-51.45372902508264,apucarana,PR
28909,-22.8913780464789,-42.04001767736353,cabo frio,RJ
84240,-24.53322475336797,-49.94002134483008,piraí do sul,PR
93030,-29.778105376058992,-51.13955383594489,sao leopoldo,RS
9171,-23.70354626894224,-46.514841647382966,santo andre,SP
9781,-23.72266536914989,-46.53515048211082,sao bernardo do campo,SP
45315,-12.863033419978166,-39.86495643922176,milagres,BA
4330,-23.657087462115527,-46.64475124132954,sao paulo,SP
68909,0.0937683491793769,-51.04264493719433,macapa,AP
89203,-26.32013882653355,-48.869681605055085,joinville,SC
3239,-23.597141468780624,-46.546974738963605,sao paulo,SP
83050,-25.49902426672053,-49.18424438259567,são josé dos pinhais,PR
4905,-23.67588957285476,-46.75340906924808,sao paulo,SP
5713,-23.62619389924409,-46.732891301546594,sao paulo,SP
9725,-23.713154002215663,-46.55874519230736,sao bernardo do campo,SP
29500,-20.762553008172624,-41.530520147239486,alegre,ES
20031,-22.910404030749863,-43.176176216645054,rio de janeiro,RJ
91910,-30.108067607536587,-51.24878297974489,porto alegre,RS
21340,-22.87372670774424,-43.35752019415423,rio de janeiro,RJ
14056,-21.14125625313053,-47.84275800164479,ribeirao preto,SP
3120,-23.56139734554791,-46.59522889869584,sao paulo,SP
89560,-26.990863472800505,-51.17145388474117,videira,SC
4794,-23.619335723078105,-46.70011214210568,são paulo,SP
88220,-27.102098999999946,-48.62961349999995,itapema,SC
4710,-23.626862832361937,-46.69611615375959,sao paulo,SP
73813,-15.55302114917706,-47.3241998652476,formosa,GO
59129,-5.745927829336209,-35.25776125328805,natal,RN
13054,-22.9794847976125,-47.1213549095584,campinas,SP
22765,-22.95943943825373,-43.35328478864909,rio de janeiro,RJ
13802,-22.440027845403684,-46.94128914057362,mogi-mirim,SP
6434,-23.526391366715263,-46.89024000515053,barueri,SP
